,rank,name,channel_name,office,official,dimention,voice,fans,video_count,duration,like_count,dislike_count,comment_count,islive,tag_count,view_count_per_video,video_publish_delta,Youtube_days,follow,follower,favourites,tweets_count,mentioned,retweeted,text_len,mention_myself,mention_vtuber,delta_tweet_sec,TW_days,view_count
0,1,キズナアイ,A.I.Channel,upd8,企業,三次元,女,1993361.0,392.0,536.18,8319.04,230.52,1364.74,0.04,24.52,215180.02,1.551018755,633.5713534,13816.0,432334.0,8105.0,21117.0,0.815,0.0,58.125,0.025,0.165,3854.798995,592.5713727000001,132269400.0
1,2,キズナアイ(ゲーム),A.I.Games,upd8,企業,三次元,女,918400.0,289.0,882.78,2884.0,78.26,531.72,0.02,27.98,91874.16,1.306120796,487.57686270000005,13816.0,432334.0,8105.0,21117.0,0.815,0.0,58.125,0.025,0.165,3854.798995,592.5713727000001,52603731.0
2,3,輝夜月(かぐやるな),Kaguya Luna Official,,企業,三次元,女,747234.0,44.0,199.6818182,27946.81818,595.3636364,3650.727273,0.0,18.04545455,1118001.455,4.978251238,222.19824,25.0,365425.0,2250.0,7527.0,0.9,0.0,50.835,0.015,0.075,3693.095477,285.5956783000001,49181549.0
3,4,ミライアカリ,Mirai Akari Project,ENTUM,企業,三次元,女,623231.0,130.0,454.16,9188.18,146.66,1493.76,0.02,12.32,295820.8,3.470989229,1596.786596,12794.0,281884.0,2636.0,3812.0,0.865,0.0,55.61,0.005,0.465,18927.48744,267.4636644,49963419.0
4,5,電脳少女YouTuberシロ,Siro Channel,.LIVE,企業,三次元,女,505523.0,385.0,937.48,4470.76,56.44,675.88,0.12,9.76,86960.28,0.8771319917,386.4017585,2320.0,230532.0,23436.0,8276.0,0.9396984925,0.0,98.1959799,0.0,0.02512562814,2301.732323,387.4305972,48256552.0
5,6,猫宮ひなた,ひなたチャンネル (Hinata Channel),ENTUM,個人,三次元,女,355958.0,22.0,477.4545455,15400.40909,402.8636364,2950.363636,0.0,6.318181817999999,611288.5909,6.785660273,153.4667006,1749.0,135767.0,2083.0,1531.0,0.824120603,0.0,66.30150754,0.05025125628,0.2864321608,18599.69697,154.8279236,13444200.0
6,7,ねこみみマスター(バーチャルのじゃロリ狐娘Youtuberおじさん),けもみみおーこく国営放送,,個人,三次元,男,285831.0,54.0,656.02,6839.86,152.24,898.96,0.12,8.8,252583.86,15.55101805,1258.053772,2628.0,164191.0,63947.0,10690.0,0.755,0.0,77.905,0.03,0.08,1620.663317,1967.123965,12825525.0
7,8,月ノ美兎,月ノ美兎,にじさんじ,企業,二次元,女,240355.0,51.0,3266.22,6996.34,204.42,391.52,0.5,3.8,266946.52,3.06225907,164.1149761,3041.0,163692.0,4507.0,1533.0,0.505,0.0,69.465,0.005,0.16,23876.01005,164.142044,13630081.0
8,9,ヨメミ,萌実 & ヨメミ - Eilene,,企業,二次元,女,231376.0,97.0,660.58,3596.14,59.1,550.42,0.0,13.36,114374.68,2.530612954,328.2772215,5879.0,68273.0,666.0,1153.0,0.865,0.0,43.895,0.0,0.02,14985.05025,204.4398565,17223700.0
9,10,ときのそら,SoraCh. ときのそらチャンネル,ホロライブ,企業,三次元,女,161086.0,138.0,1389.02,3552.4,21.84,379.68,0.26,26.96,57286.42,1.978048942,310.6968395,4222.0,91041.0,27574.0,7643.0,0.76,0.0,75.41,0.0,0.24,3533.035176,380.5392084,9068262.0
10,11,鳩羽つぐ,鳩羽つぐ,,個人,三次元,女,133901.0,6.0,99.16666667,14319.66667,295.3333333,2432.5,0.0,4.833333333,675551.5,26.8200162,156.46289280000005,1.0,80318.0,0.0,6.0,0.0,0.0,36.66666667,0.0,0.0,2316996.8,156.4594167,4041143.0
11,12,静凛,Shizuka Rin Official,にじさんじ,企業,二次元,女,127396.0,105.0,8388.56,1088.66,43.76,8.52,0.98,9.02,32754.68,0.9430272109,163.259652,532.0,86005.0,20344.0,11231.0,0.84,0.0,64.345,0.015,0.105,1586.326633,164.4410834,8272601.0
12,13,樋口楓,樋口楓【にじさんじ所属】,にじさんじ,企業,二次元,女,123161.0,73.0,4642.76,3073.34,79.78,126.9,0.58,4.22,85693.3,2.373793934,164.373865,428.0,95820.0,15147.0,4723.0,0.815,0.0,76.27,0.01,0.24,7897.407034999998,164.39215969999995,6492457.0
13,14,富士葵(ふじあおい),Aoi ch.,,企業,三次元,女,121156.0,120.0,1078.02,5165.04,61.92,754.62,0.12,9.08,101809.22,2.1021851380000003,262.4333789,1053.0,56695.0,780.0,5563.0,0.885,0.0,46.89,0.0,0.055,2271.904523,262.4315347,10834450.0
14,15,Ami Yamato(海外),Ami Yamato,,個人,三次元,女,121656.0,67.0,135.28,3514.02,60.54,454.06,0.0,34.02,87839.12,41.15318665,2614.290566,544.0,10879.0,16957.0,13606.0,0.825,0.0,74.33,0.03,0.0,10259.20101,2620.711639,5573252.0
